trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.99, 'e': 0.6839999999999997}",25,0,-158.64219592997287,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
154,False,"{'a': 0.99, 'e': 0.6819999999999997}",20,0,-54.233053234031566,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.99, 'e': 0.6799999999999997}",20,0,-9.967155421751572,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.99, 'e': 0.6779999999999997}",30,0,-74.814336133365,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.99, 'e': 0.6759999999999997}",20,1,-8.56112602274528,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
158,False,"{'a': 0.99, 'e': 0.6739999999999997}",20,0,-65.73721476816227,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.99, 'e': 0.6719999999999997}",25,0,-178.6969093276308,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
160,False,"{'a': 0.99, 'e': 0.6699999999999997}",35,0,-55.233061416974294,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
161,False,"{'a': 0.99, 'e': 0.6679999999999997}",35,0,-157.1174093612313,"{0: 19, 1: 4, 2: 10, 3: 1, 4: 1}",0
162,False,"{'a': 0.99, 'e': 0.6659999999999997}",20,0,-45.64031993332144,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.99, 'e': 0.6639999999999997}",25,0,-38.42584437815651,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 0.99, 'e': 0.6619999999999997}",20,0,-62.70155600414904,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.99, 'e': 0.6599999999999997}",25,0,-76.22951541252465,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
166,False,"{'a': 0.99, 'e': 0.6579999999999997}",25,18,0.39481186050894457,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.99, 'e': 0.6559999999999997}",25,0,-107.35531803145085,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
168,False,"{'a': 0.99, 'e': 0.6539999999999997}",20,0,-46.134050861416284,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
169,False,"{'a': 0.99, 'e': 0.6519999999999997}",30,21,6.413980479381667,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.99, 'e': 0.6499999999999997}",20,0,-39.41351955831561,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
